
-----------------------------------------------------------------------------------------------
Trying to read PHITS file dump_dmp
opened binary PHITS dump file with contents:
    pdgcode   ekin[MeV]       x[cm]       y[cm]       z[cm]          ux          uy          uz    time[ns]      weight
      2112         200   0.0032826   -0.000286          10          -0           0           1      1.7684           1
      2112         200   0.0062104   0.0068867          10          -0           0           1      1.7684           1
      2112         200    -0.42144    -0.22356          10   -0.022811   -0.012491     0.99966      1.7688           1
      2112         200    -0.55389      1.0161          10    -0.03057    0.056872     0.99791      1.7706           1
      2112         200    0.002484  -0.0032497          10          -0           0           1      1.7684           1
      2112      137.98      6.2913      2.8975          10     0.36113     0.15659     0.91927      2.0178           1
      2112      0.7233      10.293      10.941          10     0.46792     0.47328     0.74636      19.767     0.98943
      2112         200   -0.004998   0.0056674          10           0           0           1      1.7684           1
      2112       32.84      -3.937     -11.886          10    -0.19243    -0.58168     0.79033      3.4623           1
      2112         200     0.68734     0.27163          10    0.034611    0.013671     0.99931      1.7692           1
      2112         200   0.0082907   0.0045405          10           0           0           1      1.7684           1
      2112         200   -0.001953   0.0086106          10           0           0           1      1.7684           1
      2112         200  -0.0015925  -0.0032633          10          -0           0           1      1.7684           1
      2112      177.68        4.13     -9.6538          10     0.19857    -0.46325     0.86369      1.9919           1
      2112         200  -0.0013336   0.0039251          10           0           0           1      1.7684           1
      2112      6.4692     -12.479     -14.557          10    -0.46152    -0.53831     0.70514      8.3707           1
      2112     0.63424      -6.244  -0.0060484          10    -0.35709   -0.062481     0.93198      19.441     0.97463
      2112       1.342      -7.506      1.2364          10    -0.33661  -0.0096939     0.94159      14.068     0.99338
      2112      199.98      2.2056      1.4157          10     0.13187    0.086052     0.98752      1.7806           1
      2112      199.99      1.0238    -0.65761          10    0.055827   -0.027302     0.99807      1.7709           1
      2112      1.4872     -2.7438     -3.5408          10    -0.13611    -0.17692     0.97477       11.83     0.99429
      2112      0.8639      1.4241      -6.008          10    0.058181     -0.3119     0.94833       16.42     0.97913
      2112     0.49776     -16.785      21.012          10    -0.55594     0.60957     0.56511      42.533     0.93722
      2112         200  -0.0031357  -0.0031341          10           0           0           1      1.7684           1
      2112      98.655      7.4303      7.4234          10     0.36712     0.36937     0.85369      2.3437           1
      2112      87.814     -7.2077      6.4695          10    -0.35005     0.34144     0.87229       2.397           1
